Filename	Reason(s)
AD819150	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (18393.6660) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (18254.5215) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (16829.5156) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (16759.9238) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (16518.1035) is an outlier (IQR method)
AE444492	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (19180.5781) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (19535.8965) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (18166.6895) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (18176.1602) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (18001.8223) is an outlier (IQR method)
AE484087	1_NIR min (2914.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AE541308	1_NIR min (4262.0000) is an outlier (IQR method); 2_Red min (878.0000) is an outlier (IQR method); 2_Red std (4595.4385) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (4359.4683) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AE873111	1_NIR min (3080.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AG525529	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
AG705659	4_Blue max (65535.0000) is an outlier (IQR method)
AG787603	DEM min is suspiciously low: -32768.00; 4_Blue max (65535.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (230.9238) is an outlier (IQR method)
AG804282	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (643.3589) is an outlier (IQR method)
AH169187	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (515.1733) is an outlier (IQR method)
AH540191	0_SWIR min (5785.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AH821836	1_NIR min (2224.0000) is an outlier (IQR method); 1_NIR max (46130.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (46369.0000) is an outlier (IQR method); 2_Red std (5396.5186) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (45149.0000) is an outlier (IQR method); 3_Green std (5204.8008) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (46305.0000) is an outlier (IQR method); 4_Blue std (5452.9014) is an outlier (IQR method)
AH975365	1_NIR max (65535.0000) is an outlier (IQR method); 1_NIR std (9290.9619) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 2_Red std (6418.8833) is an outlier (IQR method); 3_Green max (65535.0000) is an outlier (IQR method); 3_Green std (3861.6240) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method)
AH988075	2_Red std (3956.0840) is an outlier (IQR method); 3_Green std (4421.3994) is an outlier (IQR method); 4_Blue std (5133.4746) is an outlier (IQR method)
AH999310	0_SWIR min (5550.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AI270757	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR max (9026.0000) is an outlier (IQR method); 0_SWIR std (6372.2358) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (8857.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (6446.6489) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (6496.5605) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (6544.0293) is an outlier (IQR method)
AI404103	1_NIR min (3732.0000) is an outlier (IQR method); 2_Red min (209.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AI623138	4_Blue min (-32768.0000) is an outlier (IQR method)
AI894780	1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (46415.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (45165.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (42855.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AJ355517	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (211.0804) is an outlier (IQR method)
AJ481252	DEM min is suspiciously low: -32768.00; 1_NIR min (-32768.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (4199.5303) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (5527.3159) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
AJ626598	4_Blue min (-32768.0000) is an outlier (IQR method)
AK203896	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (7420.3784) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (7483.1851) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (6198.9976) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (6219.8779) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (6125.7197) is an outlier (IQR method)
AK245295	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (643.2813) is an outlier (IQR method)
AK295643	1_NIR max (40403.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AK473470	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (228.4709) is an outlier (IQR method)
AK861042	0_SWIR max (40896.0000) is an outlier (IQR method); 1_NIR max (51097.0000) is an outlier (IQR method); 2_Red max (46658.0000) is an outlier (IQR method); 3_Green max (44897.0000) is an outlier (IQR method)
AL447329	0_SWIR max (41431.0000) is an outlier (IQR method); 1_NIR max (54609.0000) is an outlier (IQR method); 2_Red max (51282.0000) is an outlier (IQR method); 2_Red std (5273.1064) is an outlier (IQR method); 3_Green max (49682.0000) is an outlier (IQR method); 3_Green std (5156.7988) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (5818.2212) is an outlier (IQR method)
AL506221	1_NIR min (1470.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AL912002	DEM min is suspiciously low: -32768.00; 1_NIR max (38780.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (10131.9961) is an outlier (IQR method)
AL941850	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (16405.2695) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (38728.0000) is an outlier (IQR method); 1_NIR std (17400.8789) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (15669.0898) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (15680.9131) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (15546.7051) is an outlier (IQR method)
AL953309	5_CloudMask max (0.0000) is an outlier (IQR method)
AM605705	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (21332.7891) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (21722.7578) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (20504.3184) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (20574.1660) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (20425.6172) is an outlier (IQR method)
AM623676	6_DEM std (100.0419) is an outlier (IQR method)
AM699425	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (20184.8926) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (65535.0000) is an outlier (IQR method); 1_NIR std (20507.6367) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 2_Red std (19000.7559) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (18982.1211) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (18765.1621) is an outlier (IQR method)
AM785761	0_SWIR std (8620.5273) is an outlier (IQR method); 1_NIR max (65454.0000) is an outlier (IQR method); 1_NIR std (14244.6143) is an outlier (IQR method); 2_Red max (64398.0000) is an outlier (IQR method); 2_Red std (13557.8613) is an outlier (IQR method); 3_Green max (65454.0000) is an outlier (IQR method); 3_Green std (15046.2744) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (12505.6426) is an outlier (IQR method); 6_DEM min (1.0000) is an outlier (IQR method)
AM822742	0_SWIR max (10124.0000) is an outlier (IQR method); 1_NIR max (10616.0000) is an outlier (IQR method)
AM851919	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (16032.4639) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (16321.1504) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (14398.1318) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (14361.7705) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (14135.3330) is an outlier (IQR method)
AM908667	4_Blue max (65535.0000) is an outlier (IQR method)
AM913422	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (18373.5020) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (18148.5078) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (18127.5566) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (18174.7148) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (18142.2129) is an outlier (IQR method)
AM996114	0_SWIR min (7710.0000) is an outlier (IQR method)
AN237212	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (164.0100) is an outlier (IQR method)
AN356129	0_SWIR min (5495.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (46087.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (47614.0000) is an outlier (IQR method); 2_Red std (5037.0122) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (46635.0000) is an outlier (IQR method); 3_Green std (4791.4121) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (47410.0000) is an outlier (IQR method); 4_Blue std (6099.8672) is an outlier (IQR method)
AN717947	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (163.6092) is an outlier (IQR method)
AO455446	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (586.2687) is an outlier (IQR method)
AO997479	2_Red min (1815.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AP221916	4_Blue max (65535.0000) is an outlier (IQR method)
AP972944	4_Blue max (65535.0000) is an outlier (IQR method)
AQ511025	0_SWIR min (-32768.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AQ629016	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
AQ902723	4_Blue max (65535.0000) is an outlier (IQR method)
AQ904098	0_SWIR max (65535.0000) is an outlier (IQR method); 1_NIR max (38353.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method)
AR712494	DEM min is suspiciously low: -32768.00; 0_SWIR max (65535.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (211.7054) is an outlier (IQR method)
AR919825	1_NIR min (1921.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AS448169	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (19045.0312) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (19076.0312) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (18752.9590) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (18838.0938) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (18844.3555) is an outlier (IQR method)
AS572510	2_Red std (5023.2432) is an outlier (IQR method); 3_Green std (4909.9150) is an outlier (IQR method); 4_Blue std (5031.8027) is an outlier (IQR method)
AS622355	4_Blue max (65535.0000) is an outlier (IQR method)
AT113061	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (20385.2148) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (20421.4492) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (19955.6758) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (20079.2383) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (20104.1953) is an outlier (IQR method)
AT286646	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR max (50742.0000) is an outlier (IQR method); 0_SWIR std (19647.5293) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (65454.0000) is an outlier (IQR method); 1_NIR std (20955.0664) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 2_Red std (20186.5723) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (58322.0000) is an outlier (IQR method); 3_Green std (20059.2383) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (19874.2520) is an outlier (IQR method)
AT713455	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (17503.6445) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (48883.0000) is an outlier (IQR method); 1_NIR std (19262.9785) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (46742.0000) is an outlier (IQR method); 2_Red std (17701.9492) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (52493.0000) is an outlier (IQR method); 3_Green std (17546.3555) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (16675.8164) is an outlier (IQR method)
AT998450	4_Blue max (65535.0000) is an outlier (IQR method)
AU120155	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (16845.8516) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (17181.4824) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (15518.3193) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (15497.5166) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (15300.8789) is an outlier (IQR method)
AU224062	0_SWIR min (7797.0000) is an outlier (IQR method); 1_NIR max (43377.0000) is an outlier (IQR method); 2_Red max (43393.0000) is an outlier (IQR method); 2_Red std (5126.7251) is an outlier (IQR method); 3_Green max (43170.0000) is an outlier (IQR method); 3_Green std (5089.5488) is an outlier (IQR method); 4_Blue max (45065.0000) is an outlier (IQR method); 4_Blue std (5730.2554) is an outlier (IQR method)
AU269763	DEM min is suspiciously low: -32768.00; 0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (13904.6201) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (13718.0557) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (13352.3066) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (13389.4707) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (13377.2852) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (248.7929) is an outlier (IQR method)
AU333858	5_CloudMask max (0.0000) is an outlier (IQR method)
AU869238	0_SWIR max (40042.0000) is an outlier (IQR method); 1_NIR max (41900.0000) is an outlier (IQR method); 2_Red max (40922.0000) is an outlier (IQR method)
AU901432	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (20307.1152) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (20504.9121) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (18732.6484) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (18690.7246) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (18414.5234) is an outlier (IQR method)
AU942268	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (97.3341) is an outlier (IQR method)
AV254655	1_NIR max (37485.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method)
AV281965	1_NIR max (65535.0000) is an outlier (IQR method); 1_NIR std (13554.2725) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 2_Red std (13445.6309) is an outlier (IQR method); 3_Green max (65535.0000) is an outlier (IQR method); 3_Green std (14044.4990) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (9189.7490) is an outlier (IQR method)
AV549875	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (19297.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (19476.4238) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (18468.1211) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (18517.5879) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (18404.4922) is an outlier (IQR method)
AV849461	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (610.5569) is an outlier (IQR method)
AW297364	1_NIR max (38952.0000) is an outlier (IQR method)
AW444844	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (16380.7881) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (65535.0000) is an outlier (IQR method); 1_NIR std (16728.6719) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 2_Red std (15458.4072) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (15452.0410) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (15249.1484) is an outlier (IQR method)
AW545339	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (16240.4521) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (65535.0000) is an outlier (IQR method); 1_NIR std (16448.2656) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 2_Red std (16194.1904) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (16285.9297) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (16262.5469) is an outlier (IQR method)
AW650686	0_SWIR max (11223.0000) is an outlier (IQR method); 1_NIR max (10689.0000) is an outlier (IQR method)
AW961833	1_NIR min (3004.0000) is an outlier (IQR method); 2_Red min (793.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AX251157	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
AX257050	0_SWIR min (4806.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (41888.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (43113.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (43902.0000) is an outlier (IQR method)
AX821618	0_SWIR min (-32768.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (43165.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (42212.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (40964.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AX933541	1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (43422.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (43158.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (41923.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (43309.0000) is an outlier (IQR method)
AY154629	4_Blue max (65535.0000) is an outlier (IQR method); 6_DEM max (526.0000) is an outlier (IQR method)
AY201888	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (248.0767) is an outlier (IQR method)
AY277561	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (249.7510) is an outlier (IQR method)
AY565921	1_NIR min (2172.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
AY754728	1_NIR min (3023.0000) is an outlier (IQR method)
AY789233	4_Blue max (65535.0000) is an outlier (IQR method)
AY988319	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (234.0620) is an outlier (IQR method)
AZ195513	1_NIR max (43955.0000) is an outlier (IQR method); 2_Red max (41647.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method)
